"","Image_name","ObjectNumber","Location_Center_X","Location_Center_Y","HLA.ABC","CD57","CD31","CD14","C.peptide","Nestin","Glucagon","pan.Keratin","CD11b","CD44","PDX.1","CD45","CD56","beta.Actin","Foxp3","CD4","NKX6.1","CD68","Somatostatin","CD20","CD8","CD99","CA2","NFkb","GnzB","Ki67","Collagen","CD3","p16","pS6","CD45RO","HLA.DR","PP","GHRL","DNA191","DNA193"
"cell_11","NPOD6009_Head_ROI1",11,407.8571429,6.523809524,0.9043968,0.26673152,0.2097152,1.0289152,0.29556736,0.21889024,0.24772608,5.57056,7.990607872,0.52363264,0.52363264,0.3047424,0.38076416,5.6098816,1.9595264,0.8781824,0.25690112,0.8650752,0.54263808,0.19070976,0.59047936,6.258688,0.26673152,0.36175872,0.15269888,0.12386304,1.0878976,0.7995392,1.507328,0.49545216,0.35258368,0.58064896,0.4096,0.3047424,68.086726656,127.916244992
"cell_12","NPOD6009_Head_ROI1",12,508.2368421,5.51754386,1.5007744,0.22806528,0.26345472,1.4155776,0.41222144,0.3244032,0.46465024,10.263330816,7.991328768,1.2386304,3.0932992,0.33357824,0.40370176,7.079067648,2.2085632,0.98304,0.753664,0.7733248,0.52625408,0.17563648,0.61407232,7.754481664,0.753664,1.2713984,0.16646144,0.03506176,0.786432,0.9240576,1.5794176,0.65536,0.44761088,0.9633792,0.30670848,0.23658496,63.913263104,119.396564992
"cell_13","NPOD6009_Head_ROI1",13,523.7706422,6.266055046,1.6449536,0.24772608,0.35782656,1.212416,0.39452672,0.38535168,0.3670016,6.678970368,6.688145408,1.3238272,0.6946816,0.2752512,0.46792704,7.302873088,2.1102592,0.753664,0.229376,0.8454144,0.52297728,0.14680064,0.7143424,7.458848768,0.3211264,0.3211264,0.20185088,0.05505024,2.195456,0.8716288,2.654208,1.3369344,0.26607616,1.47456,0.24772608,0.38535168,104.735571968,194.19561984
"cell_14","NPOD6009_Head_ROI1",14,559.9552239,5,0.98304,0.17891328,0.16449536,0.8388608,0.32833536,0.2686976,0.58195968,2.3461888,6.1341696,0.20905984,0.59703296,0.22413312,0.20905984,4.6268416,1.9857408,0.9699328,0.19398656,0.59703296,0.44761088,0.20905984,0.59703296,3.2702464,0.20905984,0.46268416,0.10420224,0.08978432,2.031616,0.7012352,4.2074112,0.49283072,0.35848192,0.7471104,0.31326208,0.25362432,151.061987328,286.646140928
"cell_15","NPOD6009_Head_ROI1",15,598.6470588,4.490196078,2.1757952,0.39190528,0.39190528,1.31072,0.7274496,0.47054848,1.0420224,17.647337472,6.4094208,2.2347776,1.5859712,0.47054848,0.41156608,9.03938048,2.5690112,0.8060928,0.60817408,0.64684032,0.50987008,0.27459584,0.6684672,7.294222336,1.0223616,0.98304,0.15663104,0.039190528,1.1206656,0.7667712,2.0578304,0.64684032,0.35323904,0.7667712,0.23527424,0.35323904,58.000867328,108.982042624
"cell_16","NPOD6009_Head_ROI1",16,749.8206897,5.986206897,1.0420224,0.28246016,0.24838144,1.5466496,0.57212928,0.24117248,1.1010048,6.979387392,7.751860224,0.42074112,0.8388608,0.393216,0.57933824,6.9173248,2.6279936,0.8912896,0.25493504,0.720896,0.9043968,0.15204352,0.8716288,10.689839104,0.31719424,0.31719424,0.20709376,0.10354688,1.3565952,0.9699328,1.9070976,2.29376,0.31719424,1.5269888,0.29687808,0.50331648,67.380314112,126.153654272
"cell_17","NPOD6009_Head_ROI1",17,769.0196078,4.823529412,1.1206656,0.0786432,0.27459584,1.31072,0.39190528,0.19595264,0.786432,6.2128128,11.627659264,0.62717952,0.64684032,0.27459584,0.60817408,6.568738816,1.80224,0.9240576,0.19595264,0.39190528,0.56885248,0.098304,0.7077888,6.725566464,0.43122688,0.25493504,0.19595264,0.058851328,0.50987008,0.62717952,1.5466496,0.58851328,0.1179648,0.8650752,0.45088768,0.54919168,59.334262784,113.903730688
"cell_18","NPOD6009_Head_ROI1",18,866.7865169,4.674157303,3.6765696,0.34799616,0.9633792,2.1037056,0.37093376,0.56164352,0.42729472,14.899085312,2.5821184,0.8650752,2.1889024,0.2359296,0.40435712,9.820372992,2.064384,0.7995392,0.58458112,0.9240576,0.51707904,0.29229056,0.59572224,4.6268416,1.572864,1.1665408,0.08978432,0.06750208,4.9020928,0.6750208,1.47456,0.64028672,0.2359296,2.2347776,0.34799616,0.28114944,70.270713856,127.563726848
"cell_19","NPOD6009_Head_ROI1",19,897.4769231,5.215384615,1.2910592,0.24641536,0.41549824,1.4942208,1.4155776,0.32309248,0.7405568,8.892448768,10.277093376,0.47710208,0.9371648,0.16908288,0.38469632,7.20011264,2.7262976,1.0616832,0.47710208,0.9371648,1.1534336,0.12320768,0.9699328,8.000110592,0.36896768,0.5537792,0.12320768,0.1540096,3.1981568,0.8912896,1.5990784,3.2309248,0.36896768,0.8585216,0.27721728,0.44630016,39.231356928,74.216505344
"cell_20","NPOD6009_Head_ROI1",20,23.17475728,5.718446602,2.0578304,0.35913728,0.19398656,1.6384,0.20381696,0.39780352,0.38862848,14.466220032,6.922436608,2.1037056,2.8377088,0.29097984,0.34013184,8.048672768,2.260992,0.8650752,0.60227584,0.58261504,0.36896768,0.2523136,0.720896,4.7382528,0.98304,1.1862016,0.15532032,0.11665408,1.1665408,0.7667712,2.097152,0.688128,0.12648448,0.34930688,0.2424832,0.36896768,69.971935232,129.904869376
"cell_21","NPOD6009_Head_ROI1",21,169.6785714,5,1.8415616,0.3211264,0.12517376,0.7667712,0.23199744,0.30343168,0.1605632,6.0162048,3.5913728,1.80224,4.9086464,0.26804224,0.3211264,4.9283072,1.998848,0.48234496,1.4811136,0.50003968,0.17825792,0.26804224,0.42860544,2.195456,0.23199744,3.1981568,0.1605632,0.03571712,0.46399488,0.57147392,2.4641536,0.8060928,0.1605632,0.26804224,0.24969216,0.24969216,141.037862912,259.164667904
"cell_22","NPOD6009_Head_ROI1",22,253.0947368,7.410526316,1.4286848,0.21037056,0.22085632,2.260992,0.22085632,0.28442624,0.3473408,5.6819712,3.9387136,0.41025536,0.45285376,0.37879808,0.7340032,7.610630144,2.2413312,0.9043968,0.41025536,0.6815744,0.65273856,0.26345472,0.8126464,6.3504384,0.23134208,0.16842752,0.24182784,0.15794176,2.6083328,1.0092544,1.9398656,3.1588352,0.31588352,0.8388608,0.30539776,0.47382528,67.032580096,126.075600896
"cell_23","NPOD6009_Head_ROI1",23,261,6.544117647,1.1927552,0.14680064,0.14680064,1.5138816,0.17629184,0.20578304,0.39714816,7.588347904,6.882459648,0.35323904,0.688128,0.23527424,0.6619136,6.3832064,2.7656192,0.9699328,0.38207488,1.0616832,0.47054848,0.24969216,0.851968,9.588375552,0.35323904,0.17629184,0.47054848,0.22085632,0.6619136,0.9437184,3.8535168,10.00013824,0.57344,0.6324224,0.30867456,0.50003968,109.266403328,200.282472448
"cell_24","NPOD6009_Head_ROI1",24,633.6716418,5.880597015,1.0289152,0.10420224,0.1343488,1.6580608,0.49283072,0.28377088,0.5373952,6.910574592,7.612071936,0.35848192,0.8060928,0.20905984,0.46268416,6.82098688,2.1495808,0.7733248,0.25362432,1.015808,1.0616832,0.16449536,0.58195968,10.00013824,0.19398656,0.2686976,0.14942208,0.08978432,1.5204352,0.8650752,1.6580608,1.5663104,0.61210624,2.4772608,0.35848192,0.50724864,64.15024128,118.942138368
"cell_25","NPOD6009_Head_ROI1",25,671.2989691,6.350515464,1.2386304,5.5902208,0.29884416,0.884736,0.23724032,0.2162688,0.30932992,3.9911424,4.718592,0.34013184,0.43319296,0.2064384,0.22675456,4.3515904,1.6384,0.8781824,0.278528,0.638976,0.46399488,0.17498112,0.5668864,5.0528256,0.19595264,0.23724032,0.09306112,0.051576832,1.0092544,0.688128,2.2085632,1.4155776,0.278528,0.9306112,0.29884416,0.24772608,107.785158656,199.920582656
"cell_26","NPOD6009_Head_ROI1",26,736.4137931,4.25862069,1.4680064,0.20709376,0.20709376,0.8978432,0.29294592,0.15532032,0.65536,6.3307776,5.9834368,1.0878976,3.3292288,0.17235968,0.37945344,6.0358656,1.6187392,0.9633792,0.8781824,0.62062592,0.7602176,0.051707904,0.44826624,5.0331648,0.7077888,1.605632,0.1376256,0.034471936,0.9306112,0.31064064,1.8612224,0.60358656,0.27590656,0.58589184,0.18939904,0.24117248,69.983797248,131.933077504
"cell_27","NPOD6009_Head_ROI1",27,925.5181818,7.281818182,1.6973824,0.2818048,0.18153472,1.5335424,0.60030976,0.32702464,0.43646976,8.65468416,7.681933312,1.1075584,0.6455296,0.38207488,0.720896,9.200140288,2.3986176,1.2713984,0.30932992,1.2976128,0.51838976,0.20905984,0.6619136,5.799936,0.29097984,0.41811968,0.09109504,0.10027008,4.9545216,1.0354688,2.8114944,0.8912896,0.39059456,0.50003968,0.33619968,0.40894464,132.102029312,247.98560256
"cell_28","NPOD6009_Head_ROI1",28,422.5,7.487804878,1.6580608,0.32899072,0.4390912,1.2910592,0.28049408,0.62193664,0.42663936,10.463543296,7.41474304,0.9895936,1.867776,0.29294592,0.42663936,8.64649216,2.5362432,1.0354688,0.54853632,0.53673984,0.56098816,0.15859712,0.6946816,6.160384,0.9240576,0.6815744,0.2195456,0.06094848,0.9371648,0.7798784,1.7563648,0.4390912,0.29294592,0.9764864,0.29294592,0.32899072,72.745025536,133.428871168
"cell_29","NPOD6009_Head_ROI1",29,603.0731707,8.93902439,2.0119552,0.17104896,1.1206656,0.7667712,0.3047424,0.40239104,0.46333952,3.4537472,3.1326208,0.48758784,0.37814272,0.23199744,0.3538944,6.4159744,1.4614528,0.524288,0.2195456,0.51249152,0.31719424,0.19529728,0.42663936,5.4525952,0.25624576,0.24379392,0.048758784,0.012189696,7.048855552,0.53673984,2.490368,1.4024704,0.15859712,1.0027008,0.28049408,0.32899072,113.111465984,214.637412352
"cell_30","NPOD6009_Head_ROI1",30,659.7560976,7.573170732,1.5138816,0.3047424,0.17104896,1.3565952,0.42663936,0.17104896,0.524288,10.707468288,6.609829888,0.56098816,2.4117248,0.24379392,0.3047424,6.291456,2.3789568,0.7340032,0.6094848,0.54853632,0.51249152,0.3538944,0.62193664,4.685824,0.7471104,0.720896,0.0851968,0.024379392,0.48758784,0.7340032,1.245184,0.50003968,0.14614528,0.720896,0.17104896,0.36569088,51.817873408,97.45268736
"cell_31","NPOD6009_Head_ROI1",31,956.9612403,7.069767442,1.4286848,0.28704768,0.28704768,1.409024,0.45744128,0.2326528,0.41877504,5.177344,10.3645184,0.7929856,0.7143424,0.32571392,0.41091072,7.814053888,1.8153472,0.9895936,0.26345472,0.851968,0.7798784,0.2555904,0.56557568,4.7316992,0.35651584,0.2326528,0.061997056,0.038731776,4.4105728,0.688128,1.7235968,0.8192,0.24051712,2.850816,0.34865152,0.24838144,90.233962496,170.126606336
"cell_32","NPOD6009_Head_ROI1",32,980,6.225,2.4772608,0.52494336,0.32505856,1.7235968,0.45023232,0.42532864,0.32505856,12.87520256,8.400142336,1.5007744,4.8234496,0.42532864,0.30015488,6.850084864,1.9267584,1.0223616,1.1993088,0.54984704,0.62521344,0.10027008,0.6750208,1.9529728,1.0027008,1.8219008,0.10027008,0.07471104,1.5269888,0.62521344,1.5532032,0.65011712,0.30015488,0.7012352,0.2752512,0.15007744,130.076966912,242.678693888
"cell_33","NPOD6009_Head_ROI1",33,268.4761905,9.752380952,1.1534336,0.15269888,0.22872064,1.245184,0.23789568,0.36175872,0.25690112,6.5536,7.20011264,0.3997696,0.39059456,0.23789568,0.56164352,6.1997056,2.6279936,0.8126464,0.36175872,0.63832064,0.46661632,0.14286848,0.6684672,5.865472,0.1998848,0.21889024,0.26673152,0.08585216,1.0551296,0.8978432,1.5990784,3.9059456,0.4096,0.65536,0.26673152,0.35258368,76.5820928,140.830703616
"cell_34","NPOD6009_Head_ROI1",34,345.1904762,7.111111111,2.2544384,1.8087936,0.25427968,1.1730944,0.15859712,0.39714816,0.4128768,11.396972544,1.3828096,0.7012352,4.3188224,0.28573696,0.6684672,6.2062592,2.3658496,0.6684672,0.9371648,0.42860544,0.54001664,0.23789568,0.6815744,1.6973824,0.9371648,2.1561344,0.0950272,0.1114112,1.7432576,0.47644672,1.605632,0.507904,0.2064384,0.39714816,0.19070976,0.17432576,108.731826176,200.22525952
"cell_35","NPOD6009_Head_ROI1",35,467.5471698,8.245283019,1.0747904,0.18874368,0.26411008,1.3959168,0.09437184,0.6815744,0.33947648,3.0212096,4.5285376,0.28311552,0.45285376,0.33947648,0.37748736,5.8523648,2.228224,0.64159744,0.26411008,1.0747904,0.26411008,0.09437184,1.1337728,5.832704,0.1507328,0.09437184,0.18874368,0.037748736,2.2085632,0.9437184,1.0027008,1.4876672,0.30212096,1.9267584,0.33947648,0.37748736,46.887534592,91.586297856
"cell_36","NPOD6009_Head_ROI1",36,482.3152174,9.02173913,1.2189696,0.22806528,0.22806528,0.8781824,0.21757952,0.43450368,0.48889856,4.0566784,6.2390272,0.40239104,0.6619136,0.21757952,0.4456448,5.3346304,2.4117248,0.7274496,0.28246016,0.52166656,0.38076416,0.2719744,0.55443456,6.4356352,0.32636928,0.42401792,0.13041664,0.07602176,0.8257536,0.7405568,2.4576,0.8716288,0.34799616,0.8716288,0.28246016,0.36962304,102.860259328,190.089854976
"cell_37","NPOD6009_Head_ROI1",37,533.5670103,9.103092784,2.0381696,0.2883584,0.2064384,0.786432,0.2162688,0.15466496,0.29884416,2.1364736,3.866624,0.40239104,0.32964608,0.9043968,0.25755648,8.6392832,1.6384,0.688128,0.19595264,0.43319296,0.38141952,0.4947968,10.629021696,5.4329344,0.2064384,0.18546688,0.31981568,0.09306112,1.7235968,4.6399488,4.1156608,0.6619136,0.8585216,0.52559872,0.2162688,0.3506176,167.981940736,318.63373824
"cell_38","NPOD6009_Head_ROI1",38,741.9130435,9.289855072,1.3041664,0.15925248,0.14483456,0.59441152,0.2752512,0.14483456,0.42008576,2.5493504,4.9741824,0.31916032,0.7667712,0.21757952,0.376832,4.7120384,1.4811136,0.50724864,0.21757952,0.44957696,0.56492032,0.14483456,0.40566784,3.7093376,0.30408704,0.376832,0.1015808,0.08716288,1.5335424,0.60882944,2.2347776,0.44957696,0.28966912,0.753664,0.28966912,0.28966912,122.103332864,227.873062912
"cell_39","NPOD6009_Head_ROI1",39,847.9015152,8.022727273,2.0250624,0.2654208,0.2195456,1.6318464,0.35586048,0.33357824,0.50003968,8.901623808,2.0840448,0.9240576,4.6989312,0.2424832,0.3866624,7.227375616,2.1233664,0.57606144,1.1862016,0.720896,0.39387136,0.20447232,0.54525952,2.4444928,1.4680064,2.8311552,0.16646144,0.09109504,3.7421056,0.53018624,2.2872064,0.8388608,0.53018624,0.65142784,0.22740992,0.32571392,148.835598336,275.80727296
"cell_40","NPOD6009_Head_ROI1",40,45.91304348,8.985507246,1.0878976,0.26083328,0.13041664,1.2910592,0.21757952,0.2031616,0.31916032,5.0003968,4.5940736,0.34799616,0.5505024,0.23199744,0.376832,6.4356352,2.8573696,0.7798784,0.13041664,0.8978432,0.59441152,0.1736704,0.53608448,7.768244224,0.18808832,0.53608448,0.39124992,0.028966912,1.6842752,0.8716288,4.1025536,3.4799616,0.4784128,1.015808,0.34799616,0.44957696,139.118051328,257.27926272
"cell_41","NPOD6009_Head_ROI1",41,111.6461538,9.669230769,1.2058624,0.1540096,0.18481152,1.6318464,0.16908288,0.23855104,0.3080192,3.93216,7.769358336,0.61538304,0.6684672,0.29229056,0.46137344,7.230849024,2.2216704,0.8978432,0.29229056,1.376256,0.50003968,0.21561344,0.9109504,7.323189248,0.38469632,0.39256064,0.08454144,0.1540096,6.193152,0.9764864,1.6908288,2.9556736,0.46137344,1.4680064,0.30015488,0.3997696,32.462012416,59.308572672
"cell_42","NPOD6009_Head_ROI1",42,149.7755102,8.346938776,1.3238272,0.061210624,0.14286848,1.6121856,0.24510464,0.20381696,0.32636928,4.7120384,3.4275328,0.32636928,0.7733248,0.42860544,0.57147392,5.89824,2.4313856,0.917504,0.42860544,1.2845056,0.40828928,0.1835008,1.0223616,6.857228288,0.34668544,0.34668544,0.42860544,0.020381696,1.1665408,0.753664,2.9360128,7.510294528,0.36765696,0.8585216,0.65339392,0.57147392,119.328342016,219.268644864
"cell_43","NPOD6009_Head_ROI1",43,211.4179104,9.328358209,2.9097984,0.35848192,0.46268416,2.1168128,0.19398656,0.4030464,0.41811968,9.447931904,7.268794368,1.8481152,1.2386304,0.52232192,0.61210624,17.98537216,2.9687808,1.2386304,0.64159744,7.11950336,0.5668864,0.31326208,0.851968,7.015038976,0.65536,0.5373952,0.14942208,5.9703296,1.1927552,0.8978432,1.7170432,1.9726336,0.851968,1.8939904,0.4325376,0.2686976,103.9269888,194.585034752
"cell_44","NPOD6009_Head_ROI1",44,278.880597,11.7238806,1.114112,0.23855104,0.25362432,0.950272,0.17170432,0.17170432,0.23134208,4.9610752,7.48519424,0.46268416,0.42532864,0.3211264,0.37289984,4.784128,2.1692416,0.8912896,0.2686976,0.52232192,0.44761088,0.22413312,0.5668864,5.5771136,0.28377088,0.17891328,0.11206656,0.044761088,2.097152,0.8978432,1.9791872,1.2320768,0.20119552,0.50724864,0.25362432,0.4030464,64.672628736,122.389921792
"cell_45","NPOD6009_Head_ROI1",45,458.9516129,9.725806452,1.0354688,0.16121856,0.17760256,1.1272192,0.09699328,0.1933312,0.17760256,2.7262976,4.3712512,0.1933312,0.48365568,0.2260992,0.35454976,4.7120384,1.5466496,0.7733248,0.30670848,0.48365568,0.4194304,0.14548992,0.29032448,4.3843584,0.38731776,0.1933312,0.12910592,0.11272192,1.4811136,0.4358144,2.5821184,1.3238272,0.48365568,0.8257536,0.2097152,0.32243712,85.227077632,161.325056
"cell_46","NPOD6009_Head_ROI1",46,578.1147541,10.85245902,1.0551296,0.15597568,0.24576,0.9109504,0.311296,0.23789568,0.344064,5.4001664,7.967342592,0.58195968,0.49152,0.28704768,0.43450368,6.1407232,2.064384,0.8257536,0.24576,0.524288,0.45088768,0.15597568,0.64749568,7.114850304,0.22151168,0.311296,0.212992,0.10682368,1.736704,0.9043968,2.4444928,1.1010048,0.28704768,0.720896,0.278528,0.311296,100.85400576,186.953695232
"cell_47","NPOD6009_Head_ROI1",47,589.0571429,11.16428571,0.917504,0.2359296,0.17825792,1.015808,0.44302336,0.14286848,0.5931008,7.7643776,8.214413312,0.50003968,0.41418752,0.1998848,0.24313856,5.7344,1.7760256,0.7667712,0.21430272,0.53542912,0.56426496,0.15007744,0.64290816,5.40672,0.34275328,0.40697856,0.1212416,0.064290816,1.1993088,0.7929856,2.1889024,0.57147392,0.22151168,0.52887552,0.33554432,0.3571712,65.393852416,120.387534848
"cell_48","NPOD6009_Head_ROI1",48,787.1090909,7.690909091,1.4548992,0.16384,0.1998848,1.6384,0.6750208,0.18153472,0.8716288,10.691084288,2.5100288,1.0027008,4.1091072,0.29097984,0.32702464,5.9244544,1.5990784,0.61800448,1.14688,0.5636096,0.7274496,0.1998848,0.23658496,5.0921472,1.0354688,2.3461888,0.12713984,0.10878976,5.275648,0.65470464,1.7301504,1.6515072,0.1998848,0.65470464,0.32702464,0.16384,112.25628672,200.42121216
"cell_49","NPOD6009_Head_ROI1",49,907.8536585,9.317073171,1.0878976,0.19529728,0.19529728,1.0027008,0.9240576,0.3047424,0.47579136,3.76832,2.3527424,0.51249152,1.8415616,0.18284544,0.37814272,5.5508992,1.5335424,0.46333952,0.26804224,0.51249152,0.524288,0.20709376,0.57344,5.5640064,0.41484288,0.9043968,0.07340032,0.0851968,8.122073088,0.524288,1.2320768,0.9043968,0.24379392,0.7077888,0.19529728,0.25624576,48.69586944,91.598946304
"cell_50","NPOD6009_Head_ROI1",50,946.1829268,12.20121951,2.2020096,0.45154304,0.24969216,1.5204352,0.50593792,0.54853632,0.45744128,20.927152128,7.402553344,1.47456,1.8415616,0.37224448,1.4483456,9.762373632,2.4117248,0.917504,0.54263808,0.7667712,0.7274496,0.24969216,0.6815744,5.275648,0.48758784,1.1927552,0.12189696,0.07340032,1.6252928,0.8650752,1.6777216,0.8323072,0.20709376,0.8060928,0.46333952,0.262144,72.159657984,135.654539264
"cell_51","NPOD6009_Head_ROI1",51,972.8392857,8.8125,2.9884416,0.33947648,0.2588672,1.3500416,0.42860544,0.2588672,0.33947648,11.026956288,7.41081088,2.1692416,1.8808832,0.38404096,0.4194304,8.482258944,2.3396352,0.9568256,0.63373312,0.8650752,0.3571712,0.1605632,0.7143424,3.5454976,1.1993088,1.2517376,0.13369344,0.11599872,1.8415616,0.7929856,1.6777216,1.605632,0.24117248,1.2386304,0.27656192,0.28573696,121.466126336,223.67305728
"cell_52","NPOD6009_Head_ROI1",52,37.76190476,11.33333333,1.6646144,0.25690112,0.2097152,1.4352384,0.22872064,0.23789568,0.46661632,5.9244544,8.466792448,0.32374784,0.59047936,0.45744128,0.24772608,6.828654592,2.9884416,0.917504,0.34275328,0.53346304,0.46661632,0.23789568,0.8454144,6.4684032,0.21889024,0.29556736,0.1998848,0.1048576,1.179648,0.9633792,2.7787264,1.4221312,0.38076416,0.5144576,0.34275328,0.3047424,113.782685696,206.526939136
"cell_53","NPOD6009_Head_ROI1",53,610.4204545,10.46590909,1.4876672,0.28377088,0.31850496,1.376256,0.5341184,0.32964608,0.7405568,8.011513856,4.8627712,0.7077888,0.60227584,0.29556736,0.26148864,7.613775872,1.9202048,0.917504,0.23855104,0.59113472,0.63635456,0.26148864,0.851968,6.5142784,0.43188224,0.30670848,0.147456,0.045481984,0.8650752,1.0027008,1.8087936,0.9764864,0.20447232,0.9306112,0.27262976,0.35258368,89.808175104,167.65026304
"cell_54","NPOD6009_Head_ROI1",54,728.0776699,10.19417476,0.8650752,0.20381696,0.11665408,1.1272192,0.2818048,0.19398656,0.45613056,6.2652416,8.136032256,0.38862848,0.7012352,0.2719744,0.41746432,6.0030976,2.0512768,0.851968,0.2424832,0.46596096,0.62128128,0.14548992,0.7405568,6.38976,0.2424832,0.22347776,0.17498112,0.07798784,1.3369344,0.8126464,1.4876672,0.49545216,0.21364736,0.56295424,0.20381696,0.2523136,67.1563776,122.244562944
